iter	Passed	Remaining
606	6659	4311
607	6668	4299
608	6680	4288
609	6689	4277
610	6698	4264
611	6708	4252
612	6715	4239
613	6724	4227
614	6732	4214
615	6740	4202
616	6747	4188
617	6753	4174
618	6764	4163
619	6770	4149
620	6782	4139
621	6790	4126
622	6801	4115
623	6809	4103
624	6815	4089
625	6821	4075
626	6828	4062
627	6836	4049
628	6843	4036
629	6854	4025
630	6863	4013
631	6874	4003
632	6889	3994
633	6896	3980
634	6902	3967
635	6912	3956
636	6924	3945
637	6931	3932
638	6943	3922
639	6949	3909
640	6955	3895
641	6966	3884
642	6978	3874
643	6985	3861
644	6991	3847
645	7001	3836
646	7009	3824
647	7015	3810
648	7022	3798
649	7031	3786
650	7038	3773
651	7044	3759
652	7053	3748
653	7059	3734
654	7067	3722
655	7076	3710
656	7086	3699
657	7094	3687
658	7100	3674
659	7110	3662
660	7116	3649
661	7128	3639
662	7137	3627
663	7150	3618
664	7156	3605
665	7164	3593
666	7171	3580
667	7179	3568
668	7188	3556
669	7195	3543
670	7205	3532
671	7211	3519
672	7217	3507
673	7225	3494
674	7236	3484
675	7243	3471
676	7250	3459
677	7259	3447
678	7269	3436
679	7278	3425
680	7285	3412
681	7292	3400
682	7299	3387
683	7311	3377
684	7322	3367
685	7333	3356
686	7343	3345
687	7351	3333
688	7358	3321
689	7364	3308
690	7374	3297
691	7384	3286
692	7392	3275
693	7401	3263
694	7407	3250
695	7413	3238
696	7420	3225
697	7428	3214
698	7435	3201
699	7441	3189
700	7447	3176
701	7457	3165
702	7465	3154
703	7475	3143
704	7484	3131
705	7490	3119
706	7499	3108
707	7507	3096
708	7514	3084
709	7521	3072
710	7530	3061
711	7537	3048
712	7544	3036
713	7554	3025
714	7561	3013
715	7567	3001
716	7575	2989
717	7584	2978
718	7589	2966
719	7597	2954
720	7607	2943
721	7615	2932
722	7623	2920
723	7631	2909
724	7641	2898
725	7647	2886
726	7658	2875
727	7667	2864
728	7675	2853
729	7685	2842
730	7690	2830
731	7696	2817
732	7707	2807
733	7713	2795
734	7720	2783
735	7727	2771
736	7734	2760
737	7742	2748
738	7751	2737
739	7757	2725
740	7767	2715
741	7774	2703
742	7782	2691
743	7791	2680
744	7799	2669
745	7807	2658
746	7816	2647
747	7822	2635
748	7831	2624
749	7839	2613
750	7847	2601
751	7854	2590
752	7860	2578
753	7870	2567
754	7879	2556
755	7885	2544
756	7892	2533
757	7901	2522
758	7908	2510
759	7917	2500
760	7924	2488
761	7931	2477
762	7940	2466
763	7947	2455
764	7956	2444
765	7968	2434
766	7973	2422
767	7980	2410
768	7986	2399
769	7996	2388
770	8002	2376
771	8011	2366
772	8018	2354
773	8027	2344
774	8036	2333
775	8043	2321
776	8051	2310
777	8060	2300
778	8070	2289
779	8076	2278
780	8086	2267
781	8093	2256
782	8099	2244
783	8105	2233
784	8114	2222
785	8121	2211
786	8127	2199
787	8134	2188
788	8143	2177
789	8152	2167
790	8160	2156
791	8166	2144
792	8176	2134
793	8184	2123
794	8191	2112
795	8199	2101
796	8205	2090
797	8213	2078
798	8221	2068
799	8226	2056
800	8233	2045
801	8240	2034
802	8248	2023
803	8254	2012
804	8264	2001
805	8277	1992
806	8286	1981
807	8293	1970
808	8301	1959
809	8309	1949
810	8316	1938
811	8325	1927
812	8334	1917
813	8346	1907
814	8355	1896
815	8361	1885
816	8371	1875
817	8382	1865
818	8393	1854
819	8404	1844
820	8413	1834
821	8421	1823
822	8431	1813
823	8438	1802
824	8446	1791
825	8452	1780
826	8460	1769
827	8466	1758
828	8474	1748
829	8485	1737
830	8493	1727
831	8499	1716
832	8509	1705
833	8520	1695
834	8526	1684
835	8532	1673
836	8539	1662
837	8547	1652
838	8554	1641
839	8562	1630
840	8571	1620
841	8581	1610
842	8591	1600
843	8598	1589
844	8607	1578
845	8618	1568
846	8623	1557
847	8633	1547
848	8642	1537
849	8652	1526
850	8661	1516
851	8670	1506
852	8676	1495
853	8684	1484
854	8693	1474
855	8699	1463
856	8707	1453
857	8715	1442
858	8722	1431
859	8731	1421
860	8742	1411
861	8749	1400
862	8757	1390
863	8767	1380
864	8779	1370
865	8785	1359
866	8795	1349
867	8806	1339
868	8815	1328
869	8821	1318
870	8831	1307
871	8837	1297
872	8845	1286
873	8851	1276
874	8861	1265
875	8869	1255
876	8876	1244
877	8885	1234
878	8894	1224
879	8900	1213
880	8912	1203
881	8917	1193
882	8926	1182
883	8934	1172
884	8940	1161
885	8946	1151
886	8954	1140
887	8963	1130
888	8972	1120
889	8978	1109
890	8985	1099
891	8993	1088
892	9002	1078
893	9014	1068
894	9021	1058
895	9029	1048
896	9038	1037
897	9045	1027
898	9052	1017
899	9062	1006
900	9070	996
901	9077	986
902	9085	975
903	9095	965
904	9106	955
905	9116	945
906	9124	935
907	9134	925
908	9146	915
909	9159	905
910	9171	896
911	9181	885
912	9189	875
913	9195	865
914	9202	854
915	9210	844
916	9217	834
917	9224	823
918	9233	813
919	9242	803
920	9254	793
921	9264	783
922	9274	773
923	9283	763
924	9292	753
